date,ETH,LTC,DASH,XMR
31/07/2017,197.4,40.34,173.15,39.67
01/08/2017,204.69,43.02,179.2,39.88
02/08/2017,227.01,43.07,185.15,44.08
03/08/2017,220.18,42.19,183.17,43.8
04/08/2017,225.31,42.89,186.92,43.36
05/08/2017,222.85,43.49,186.96,45.18
06/08/2017,256.42,46.85,193.71,48.57
07/08/2017,261.24,45.17,189.07,47.67
08/08/2017,269.1,45.9,196.58,50.4
09/08/2017,297.63,48.59,203.74,51.94
10/08/2017,296.96,48.05,199.56,50.94
11/08/2017,294.49,46.4,200.82,49.31
12/08/2017,308.71,47.05,206.22,50.85
13/08/2017,310.37,46.57,205.59,49.38
14/08/2017,298.03,45.83,198.32,47.69
15/08/2017,299.95,45.81,199.8,49.97
16/08/2017,289.82,43.37,203.85,48.77
17/08/2017,302.8,44.18,231.58,48.82
18/08/2017,301.7,43.9,233.84,47.37
19/08/2017,296.18,47.05,224.67,46.97
20/08/2017,296.64,45.38,288.2,55.79
21/08/2017,300.48,46.19,293.77,54.67
22/08/2017,321.05,47.9,280.29,77.99
23/08/2017,315.27,46.71,290.46,91.01
24/08/2017,317.45,52.82,292.96,90.35
25/08/2017,326.11,50.17,317.91,86.47
26/08/2017,331.99,51.17,315.28,107.46
27/08/2017,334.36,51.8,400.42,137.6
28/08/2017,350.04,61.36,362.5,130.76
29/08/2017,347.96,62.39,357.16,144.24
30/08/2017,369.47,63.16,359.59,133.85
31/08/2017,378.44,64.16,368.57,131.95
01/09/2017,383.47,70.86,377.92,140.65
02/09/2017,387.82,85.83,393.53,141.35
03/09/2017,350.23,78.98,354.63,124.93
04/09/2017,347.13,76.73,356.94,126.23
05/09/2017,297.57,65.25,316.88,106.75
06/09/2017,313.8,71.78,328.15,118.79
07/09/2017,333.52,79.88,346.45,121.39
08/09/2017,329.64,78.45,343.53,120.28
09/09/2017,296.17,67.21,334.95,118.19
10/09/2017,294.06,65.8,323.24,115.64
11/09/2017,289.74,61.65,322.02,113.05
12/09/2017,294.63,66.24,318.42,112.72
13/09/2017,291.12,64.32,324.72,111.81
14/09/2017,276.59,61.64,301.11,111.29
15/09/2017,215.22,41.69,236.05,83.13
16/09/2017,250.87,48.13,284.51,100.11
17/09/2017,245.85,48.23,298.59,94.97
18/09/2017,252.23,48.53,311.89,93.81
19/09/2017,293.66,55.68,333.64,100.83
20/09/2017,282.02,52.74,323.78,97.64
21/09/2017,283.26,51.66,342.41,95.33
22/09/2017,258.11,46.65,331.11,86.17
23/09/2017,264.6,48.16,346.76,88.03
24/09/2017,286.21,49.25,350.4,91.76
25/09/2017,282.22,47.62,330.63,89.37
26/09/2017,292.35,51.69,345.08,93.81
27/09/2017,287.02,51.58,338.7,92.75
